word,zipf,length,start,direction,path
KIM,4.59,3,C1-L1,IN,C1-L1 -> C1-L2 -> C1-L3
BAN,4.55,3,D4-L1,IN,D4-L1 -> D4-L2 -> D4-L3
RAW,4.53,3,C2-L4,S+E+OUT,C2-L4 -> D3-L3 -> E4-L2
AIM,4.51,3,D3-L3,N+OUT,D3-L3 -> D2-L2 -> D1-L1
FED,4.51,3,A4-L3,N+OUT,A4-L3 -> A3-L2 -> A2-L1
TIE,4.51,3,A6-L4,N+IN,A6-L4 -> A5-L5 -> A4-L6
TIM,4.51,3,E3-L1,N+W+IN,E3-L1 -> D2-L2 -> C1-L3
RID,4.50,3,D1-L3,S+OUT,D1-L3 -> D2-L2 -> D3-L1
DNA,4.49,3,C3-L4,S+E+OUT,C3-L4 -> D4-L3 -> E5-L2
DNA,4.49,3,E1-L6,OUT,E1-L6 -> E1-L5 -> E1-L4
EARN,4.48,4,A2-L2,E+IN,A2-L2 -> B2-L3 -> C2-L4 -> D2-L5
RAPE,4.48,4,B2-L2,IN,B2-L2 -> B2-L3 -> B2-L4 -> B2-L5
BONE,4.47,4,B4-L3,E,B4-L3 -> C4-L3 -> D4-L3 -> E4-L3
GAP,4.47,3,D6-L1,E+IN,D6-L1 -> E6-L2 -> F6-L3
CEO,4.46,3,D5-L4,N+E+OUT,D5-L4 -> E4-L3 -> F3-L2
HIP,4.46,3,C2-L6,E,C2-L6 -> D2-L6 -> E2-L6
EAR,4.43,3,A2-L2,E+IN,A2-L2 -> B2-L3 -> C2-L4
KIT,4.42,3,C4-L4,S+W,C4-L4 -> B5-L4 -> A6-L4
MIN,4.42,3,D1-L1,W+IN,D1-L1 -> C1-L2 -> B1-L3
THO,4.41,3,A6-L4,N+E+OUT,A6-L4 -> B5-L3 -> C4-L2
PRAY,4.40,4,F6-L3,W+IN,F6-L3 -> E6-L4 -> D6-L5 -> C6-L6
POT,4.40,3,F6-L6,W+OUT,F6-L6 -> E6-L5 -> D6-L4
POT,4.40,3,F6-L6,OUT,F6-L6 -> F6-L5 -> F6-L4
FEB,4.38,3,F3-L4,S+W+OUT,F3-L4 -> E4-L3 -> D5-L2
PEN,4.38,3,B2-L4,S+IN,B2-L4 -> B3-L5 -> B4-L6
NOV,4.37,3,C3-L3,S+W+OUT,C3-L3 -> B4-L2 -> A5-L1
NOV,4.37,3,D3-L6,W+OUT,D3-L6 -> C3-L5 -> B3-L4
WOLF,4.35,4,C3-L6,E+OUT,C3-L6 -> D3-L5 -> E3-L4 -> F3-L3
ANN,4.35,3,B2-L3,S+E,B2-L3 -> C3-L3 -> D4-L3
OCT,4.35,3,C6-L2,W+IN,C6-L2 -> B6-L3 -> A6-L4
RIO,4.35,3,D1-L3,S+IN,D1-L3 -> D2-L4 -> D3-L5
RIO,4.35,3,F1-L3,S+W+IN,F1-L3 -> E2-L4 -> D3-L5
RIO,4.35,3,E6-L4,W+OUT,E6-L4 -> D6-L3 -> C6-L2
RIO,4.35,3,B5-L5,N+E,B5-L5 -> C4-L5 -> D3-L5
ATE,4.34,3,D4-L6,N+E,D4-L6 -> E3-L6 -> F2-L6
TEEN,4.33,4,A2-L6,S,A2-L6 -> A3-L6 -> A4-L6 -> A5-L6
AUG,4.33,3,B1-L2,S+E+IN,B1-L2 -> C2-L3 -> D3-L4
GEN,4.33,3,D3-L4,E+IN,D3-L4 -> E3-L5 -> F3-L6
GEN,4.33,3,A1-L5,E,A1-L5 -> B1-L5 -> C1-L5
GEN,4.33,3,F2-L5,S+W,F2-L5 -> E3-L5 -> D4-L5
IAN,4.32,3,C3-L2,N+W+IN,C3-L2 -> B2-L3 -> A1-L4
IAN,4.32,3,E3-L3,W,E3-L3 -> D3-L3 -> C3-L3
IAN,4.32,3,D6-L3,N,D6-L3 -> D5-L3 -> D4-L3
ALI,4.31,3,D3-L3,E+IN,D3-L3 -> E3-L4 -> F3-L5
SEC,4.31,3,A2-L3,S+E+OUT,A2-L3 -> B3-L2 -> C4-L1
DRAG,4.29,4,D3-L1,IN,D3-L1 -> D3-L2 -> D3-L3 -> D3-L4
CNN,4.28,3,E5-L3,N+W,E5-L3 -> D4-L3 -> C3-L3
CNN,4.28,3,D5-L4,N+IN,D5-L4 -> D4-L5 -> D3-L6
LAS,4.28,3,E3-L4,S+W,E3-L4 -> D4-L4 -> C5-L4
PIN,4.28,3,E1-L1,S+W+IN,E1-L1 -> D2-L2 -> C3-L3
ORAL,4.26,4,C1-L4,E,C1-L4 -> D1-L4 -> E1-L4 -> F1-L4
LION,4.25,4,E1-L3,S+W+IN,E1-L3 -> D2-L4 -> C3-L5 -> B4-L6
DES,4.25,3,A2-L1,IN,A2-L1 -> A2-L2 -> A2-L3
LEO,4.23,3,F5-L5,N+W,F5-L5 -> E4-L5 -> D3-L5
RON,4.22,3,C5-L1,N+IN,C5-L1 -> C4-L2 -> C3-L3
RON,4.22,3,C2-L4,S+E+IN,C2-L4 -> D3-L5 -> E4-L6
ARC,4.21,3,B3-L3,N+OUT,B3-L3 -> B2-L2 -> B1-L1
BUG,4.20,3,B4-L3,S+E+OUT,B4-L3 -> C5-L2 -> D6-L1
LAP,4.18,3,F6-L1,IN,F6-L1 -> F6-L2 -> F6-L3
OAK,4.18,3,A1-L3,E+OUT,A1-L3 -> B1-L2 -> C1-L1
IDK,4.17,3,B4-L5,N+E+OUT,B4-L5 -> C3-L4 -> D2-L3
RAT,4.17,3,D6-L6,OUT,D6-L6 -> D6-L5 -> D6-L4
VON,4.17,3,A5-L1,N+E+IN,A5-L1 -> B4-L2 -> C3-L3
VON,4.17,3,B3-L4,E+IN,B3-L4 -> C3-L5 -> D3-L6
NEIL,4.16,4,E4-L6,N+OUT,E4-L6 -> E3-L5 -> E2-L4 -> E1-L3
ASH,4.16,3,D5-L3,W,D5-L3 -> C5-L3 -> B5-L3
ION,4.15,3,D2-L4,S+W+IN,D2-L4 -> C3-L5 -> B4-L6
ION,4.15,3,B4-L5,N+E,B4-L5 -> C3-L5 -> D2-L5
PAR,4.15,3,B2-L4,OUT,B2-L4 -> B2-L3 -> B2-L2
CBS,4.14,3,C2-L1,E,C2-L1 -> D2-L1 -> E2-L1
CBS,4.14,3,C4-L1,E,C4-L1 -> D4-L1 -> E4-L1
CBS,4.14,3,E5-L1,W+IN,E5-L1 -> D5-L2 -> C5-L3
IOS,4.12,3,C3-L2,S+IN,C3-L2 -> C4-L3 -> C5-L4
RAP,4.12,3,B2-L2,IN,B2-L2 -> B2-L3 -> B2-L4
REV,4.12,3,B1-L6,S+OUT,B1-L6 -> B2-L5 -> B3-L4
REV,4.12,3,B3-L6,OUT,B3-L6 -> B3-L5 -> B3-L4
EST,4.11,3,C4-L6,S+E,C4-L6 -> D5-L6 -> E6-L6
LES,4.10,3,A3-L3,N+OUT,A3-L3 -> A2-L2 -> A1-L1
LES,4.10,3,E3-L4,S+IN,E3-L4 -> E4-L5 -> E5-L6
LES,4.10,3,B4-L4,N+IN,B4-L4 -> B3-L5 -> B2-L6
ORE,4.10,3,C1-L6,W,C1-L6 -> B1-L6 -> A1-L6
BEE,4.09,3,A6-L1,IN,A6-L1 -> A6-L2 -> A6-L3
INN,4.07,3,C1-L2,W+IN,C1-L2 -> B1-L3 -> A1-L4
LBS,4.06,3,A3-L3,S+E,A3-L3 -> B4-L3 -> C5-L3
BEG,4.05,3,B4-L3,N+OUT,B4-L3 -> B3-L2 -> B2-L1
DOT,4.05,3,C3-L4,E+IN,C3-L4 -> D3-L5 -> E3-L6
AVE,4.04,3,B3-L3,IN,B3-L3 -> B3-L4 -> B3-L5
TIN,4.03,3,D6-L4,N+W+IN,D6-L4 -> C5-L5 -> B4-L6
ABU,4.01,3,D4-L2,S,D4-L2 -> D5-L2 -> D6-L2
ABU,4.01,3,E5-L2,W,E5-L2 -> D5-L2 -> C5-L2
DEN,4.01,3,E4-L4,IN,E4-L4 -> E4-L5 -> E4-L6
PAD,4.01,3,A1-L2,S+E+IN,A1-L2 -> B2-L3 -> C3-L4
NEO,3.99,3,A1-L4,E+IN,A1-L4 -> B1-L5 -> C1-L6
NEO,3.99,3,D2-L5,S+E,D2-L5 -> E3-L5 -> F4-L5
NEO,3.99,3,D4-L5,E,D4-L5 -> E4-L5 -> F4-L5
NEO,3.99,3,D3-L6,S+E+OUT,D3-L6 -> E4-L5 -> F5-L4
PAL,3.99,3,F6-L3,OUT,F6-L3 -> F6-L2 -> F6-L1
CART,3.98,4,E5-L1,W,E5-L1 -> D5-L1 -> C5-L1 -> B5-L1
PEE,3.96,3,A1-L2,S,A1-L2 -> A2-L2 -> A3-L2
CAB,3.95,3,F5-L2,W,F5-L2 -> E5-L2 -> D5-L2
CAB,3.95,3,D5-L4,OUT,D5-L4 -> D5-L3 -> D5-L2
ANAL,3.94,4,D3-L3,W,D3-L3 -> C3-L3 -> B3-L3 -> A3-L3
SCI,3.94,3,B2-L6,E+OUT,B2-L6 -> C2-L5 -> D2-L4
SEP,3.94,3,B2-L6,OUT,B2-L6 -> B2-L5 -> B2-L4
CHAD,3.93,4,B1-L1,S+E+IN,B1-L1 -> C2-L2 -> D3-L3 -> E4-L4
MONK,3.93,4,C6-L1,IN,C6-L1 -> C6-L2 -> C6-L3 -> C6-L4
INS,3.92,3,E3-L3,S+W,E3-L3 -> D4-L3 -> C5-L3
DEF,3.91,3,A2-L1,S+IN,A2-L1 -> A3-L2 -> A4-L3
EPA,3.90,3,B1-L5,S+OUT,B1-L5 -> B2-L4 -> B3-L3
EPA,3.90,3,B2-L5,OUT,B2-L5 -> B2-L4 -> B2-L3
EVA,3.90,3,B3-L5,OUT,B3-L5 -> B3-L4 -> B3-L3
TEL,3.90,3,E3-L6,OUT,E3-L6 -> E3-L5 -> E3-L4
ANA,3.89,3,D4-L2,IN,D4-L2 -> D4-L3 -> D4-L4
ANA,3.89,3,B3-L3,E,B3-L3 -> C3-L3 -> D3-L3
ANA,3.89,3,D3-L3,W,D3-L3 -> C3-L3 -> B3-L3
ANA,3.89,3,D3-L3,S,D3-L3 -> D4-L3 -> D5-L3
ANA,3.89,3,D5-L3,N,D5-L3 -> D4-L3 -> D3-L3
ANA,3.89,3,D4-L4,OUT,D4-L4 -> D4-L3 -> D4-L2
ANA,3.89,3,D4-L4,IN,D4-L4 -> D4-L5 -> D4-L6
