title,artist,category_text,url,paragraphs_checked,match_found,match_last_line,match_paragraph_snippet,youtube_covers_recent
Yume wa Tooi keredo,Youichirou Yoshikawa,"Iria, Zeiram the Animation (anime)",https://animelyricsaz.com/anime/iria-zeiram-the-animation/yume-wa-tooi-keredo/476-3065,28,True,Kimi no soba de mita aozora,Kimi no soba de mita aozora,
Yuuki no tsubasa,Ishida Yoko,Strike Witches: Road to Berlin (anime),https://animelyricsaz.com/anime/dai-501-togo-sento-koku-dan-strike-witches-road-to-berlin/yuuki-no-tsubasa/5082-47565,45,True,Sumiwataru aozora,Sumiwataru aozora,
24-7 no Blues,BEGIN,,https://animelyricsaz.com/artist/begin/24-7-no-blues/195-46937,35,True,Miwataseba aozora,Miwataseba aozora,
360° surround,Yuko Ando,,https://animelyricsaz.com/artist/yuko-ando/360-surround/1941-21132,33,True,Oh~ hora yubisasu hou aozora,Oh~ hora yubisasu hou aozora,
Adam no Kakugo,Aqua Timez,,https://animelyricsaz.com/artist/aqua-timez/adam-no-kakugo/127-16700,19,True,Namida gumu aozora,Namida gumu aozora,
Ai no sonzai,AKB48,,https://animelyricsaz.com/artist/akb48/ai-no-sonzai/58-19425,30,True,Yatto ame mo yande kumo hitotsu nai aozora,Yatto ame mo yande kumo hitotsu nai aozora,
allegretto ~Sora to Kimi~,KOTOKO,,https://animelyricsaz.com/artist/kotoko/allegretto-sora-to-kimi/831-12795,36,True,Aozora,Aozora,
Ame nochi kumori nochi hare...,Megumi Hayashibara,,https://animelyricsaz.com/artist/megumi-hayashibara/ame-nochi-kumori-nochi-hare/1022-49204,58,True,Harewataru aozora,Harewataru aozora,
Ano koro ni okaeri,Nogizaka46,,https://animelyricsaz.com/artist/nogizaka46/ano-koro-ni-okaeri/1220-59487,35,True,Nanimo kawaranu aozora,Nanimo kawaranu aozora,
Aogeba aozora,Hata Motohiro,,https://animelyricsaz.com/artist/hata-motohiro/aogeba-aozora/488-40155,30,True,Aogeba aozora,Aogeba aozora,
Aoi Jeep de,KOTOKO,,https://animelyricsaz.com/artist/kotoko/aoi-jeep-de/831-12799,54,True,Aozora...,Aozora...,
aozora,YUKI,,https://animelyricsaz.com/artist/yuki/aozora/1936-28591,41,True,Kokoro ni aozora,Kokoro ni aozora,
AoZora kaisei♪♪。,HAZZIE→,,https://animelyricsaz.com/artist/hazzie/aozora-kaisei/2504-41664,81,True,Kumo hitotsu nai aozora,Kumo hitotsu nai aozora,
Arch,KOTOKO,,https://animelyricsaz.com/artist/kotoko/arch/831-15516,35,True,Nan oku no mizutamari utsusu aozora,Nan oku no mizutamari utsusu aozora,
Are you ready now?,ARASHI,,https://animelyricsaz.com/artist/arashi/are-you-ready-now/128-23680,23,True,Mabushi sugiru taiyou azayaka tsukinuketeku aozora,Mabushi sugiru taiyou azayaka tsukinuketeku aozora,
ATMOSPHERE,FLOW,,https://animelyricsaz.com/artist/flow/atmosphere/389-7095,20,True,Sonna omoi ga tsunoru hodo mabushii aozora,Sonna omoi ga tsunoru hodo mabushii aozora,
Ato 100 miles,Thinking Dogs,,https://animelyricsaz.com/artist/thinking-dogs/ato-100-miles/2449-20722,63,True,Oh! Oh! Suberiochiru aozora,Oh! Oh! Suberiochiru aozora,
Before Dawn,KinKi Kids,,https://animelyricsaz.com/artist/kinki-kids/before-dawn/2220-57148,54,True,Kawaranai aozora,Kawaranai aozora,
Better is the Best,Momoiro Clover Z,,https://animelyricsaz.com/artist/momoiro-clover-z/better-is-the-best/1119-10734,60,True,Koronde miageta aozora,Koronde miageta aozora,
Bianca,Sayonara Ponytail,,https://animelyricsaz.com/artist/sayonara-ponytail/bianca/1457-10712,25,True,Yume kara samete hitori aozora,Yume kara samete hitori aozora,
BIISAN wa naze naku naru no ka?,HKT48,,https://animelyricsaz.com/artist/hkt48/biisan-wa-naze-naku-naru-no-ka/566-53894,38,True,Natsu ga kuru kehai wa kinou yori mabushi aozora,Natsu ga kuru kehai wa kinou yori mabushi aozora,
Boku wa yatto kimi wo shinpai dekiru,HKT48,,https://animelyricsaz.com/artist/hkt48/boku-wa-yatto-kimi-wo-shinpai-dekiru/566-59084,66,True,GARASU no mado no shikakui aozora,GARASU no mado no shikakui aozora,
Bon Voyage,E-Girls (Japanese group),,https://animelyricsaz.com/artist/e-girls/bon-voyage/334-27218,33,True,Fly to your dream hajimari wa itsu datte harewataru aozora,Fly to your dream hajimari wa itsu datte harewataru aozora,
Cherish,Liyuu,,https://animelyricsaz.com/artist/liyuu/cherish/4690-47793,27,True,MAKARON-iro no fuku to SUIITSU to aozora,MAKARON-iro no fuku to SUIITSU to aozora,
Crying,Kawashima Ai,,https://animelyricsaz.com/artist/kawashima-ai/crying/2487-55856,22,True,Kodomo no you ni senaka marume shagamikonde mita aozora,Kodomo no you ni senaka marume shagamikonde mita aozora,
Fly to the Freedom,Do as Infinity,,https://animelyricsaz.com/artist/do-as-infinity/fly-to-the-freedom/324-32820,34,True,Toikakeru aozora,Toikakeru aozora,
Hanadoki no sora,Tokino Sora,,https://animelyricsaz.com/artist/tokino-sora/hanadoki-no-sora/5633-52962,32,True,Miwatashita hitomi ni utsuru aozora,Miwatashita hitomi ni utsuru aozora,
Happiness Peace,Momo Asakura,,https://animelyricsaz.com/artist/momo-asakura/happiness-peace/1117-39672,40,True,Soko wa kumo hitotsu nai aozora,Soko wa kumo hitotsu nai aozora,
Happy Merry-go-Round!,Ohashi Ayaka,,https://animelyricsaz.com/artist/ohashi-ayaka/happy-merry-go-round/1240-31686,75,True,Bikkuri gyouten aozora,Bikkuri gyouten aozora,
Haruzora,Naniwa Danshi,,https://animelyricsaz.com/artist/naniwa-danshi/haruzora/6863-55864,40,True,Tooku hanarete mo aozora,Tooku hanarete mo aozora,
Hatsukoi,Hata Motohiro,,https://animelyricsaz.com/artist/hata-motohiro/hatsukoi/488-11851,25,True,Kanashii hodo azayaka na aozora,Kanashii hodo azayaka na aozora,
Hatsuzora,Suara,,https://animelyricsaz.com/artist/suara/hatsuzora/1583-22366,20,True,Kimi to hajimete miru aozora,Kimi to hajimete miru aozora,
Himawari,MINMI,,https://animelyricsaz.com/artist/minmi/himawari/1082-15579,65,True,Hey Now donna ame demo itsuka yameba hirogaru aozora,Hey Now donna ame demo itsuka yameba hirogaru aozora,
Hirari,Ohara Sakurako,"Let's Go, Jets! (drama)",https://animelyricsaz.com/drama/let-s-go-jets/hirari/2572-28793,29,True,Kimi ga miteru onaji aozora,Kimi ga miteru onaji aozora,
HOMETOWN,Shounannokaze,,https://animelyricsaz.com/artist/shounannokaze/hometown/2039-25636,67,True,Hirogaru aoi umi aozora,Hirogaru aoi umi aozora,
Hontou no egao,yozuca＊,,https://animelyricsaz.com/artist/yozuca/hontou-no-egao/1917-41790,24,True,Ima boku wa mitsuketa yo kumo hitotsu nai aozora,Ima boku wa mitsuketa yo kumo hitotsu nai aozora,
Hurry up!!,Little Glee Monster,,https://animelyricsaz.com/artist/little-glee-monster/hurry-up/2483-52025,55,True,Kumo no sukima kara nozoku aozora,Kumo no sukima kara nozoku aozora,
Ikutabi no sakura,Fukui Mai,,https://animelyricsaz.com/artist/fukui-mai/ikutabi-no-sakura/2062-16689,23,True,Omowazu miageta kozue to aozora,Omowazu miageta kozue to aozora,
Ikutsuka no sora,Shibasaki Kou,,https://animelyricsaz.com/artist/shibasaki-kou/ikutsuka-no-sora/2095-34297,47,True,Sorezore no aozora,Sorezore no aozora,
Innocence ~satsuriku no souseiki shihen saishuushou yori~,Yui Sakakibara,,https://animelyricsaz.com/artist/yui-sakakibara/innocence-satsuriku-no-souseiki-shihen-saishuushou-yori/1923-10378,31,True,#(shimobe-tachi ga tsukamu aozora,#(shimobe-tachi ga tsukamu aozora,
Itsu datte aozora,Minori Chihara,,https://animelyricsaz.com/artist/minori-chihara/itsu-datte-aozora/1083-52055,28,True,Nichiyou no gogo wa itsu datte aozora,Nichiyou no gogo wa itsu datte aozora,
Itsumademo♡dokomademo -Ho? version-,Horie Yui,,https://animelyricsaz.com/artist/horie-yui/itsumademo-dokomademo-ho-version/570-23223,32,True,Mado wo akereba soto wa aozora,Mado wo akereba soto wa aozora,
JUMP!,Dream Ami,,https://animelyricsaz.com/artist/dream-ami/jump/2595-26655,36,True,Kitto miagereba hora aozora,Kitto miagereba hora aozora,
Just Do It,Adachi Kana,,https://animelyricsaz.com/artist/adachi-kana/just-do-it/3865-44875,58,True,Miageru'n da kono aozora,Miageru'n da kono aozora,
Kanaeru kanata,Liyuu,,https://animelyricsaz.com/artist/liyuu/kanaeru-kanata/4690-57960,85,True,Konna aozora,Konna aozora,
